institution_name,TeamID,year,lookup,opexpperpart_men,opexpperteam_men,rev_men,exp_men
Saginaw Valley State University,0,2019,2019-0,5786,81002,587392,587392
Schoolcraft College,0,2019,2019-0,1676,21786,53909,59412
Siena Heights University,0,2019,2019-0,2346,60997,362474,335340
St Clair County Community College,0,2019,2019-0,2172,30403,60017,60017
Spring Arbor University,0,2019,2019-0,5064,70892,321746,321746
Finlandia University,0,2019,2019-0,2976,53559,117964,117964
Wayne County Community College District,0,2019,2019-0,1630,24450,75387,75387
Wayne State University,0,2019,2019-0,4925,64027,729196,729196
Western Michigan University,1444,2019,2019-1444,30924,432933,2344233,2344233
Anoka-Ramsey Community College,0,2019,2019-0,2423,36343,60381,60381
Augsburg University,0,2019,2019-0,1602,28841,207382,207382
Riverland Community College,0,2019,2019-0,1337,24069,41973,41973
Bemidji State University,0,2019,2019-0,3542,60218,304143,304143
Bethany Lutheran College,0,2019,2019-0,1653,39662,173753,138661
Bethel University,0,2019,2019-0,1107,35417,214205,214205
Central Lakes College-Brainerd,0,2019,2019-0,1857,25998,68822,68822
Carleton College,0,2019,2019-0,3602,36023,204923,198428
Concordia College at Moorhead,0,2019,2019-0,1787,44684,134496,134496
Concordia University-Saint Paul,0,2019,2019-0,7710,84806,482042,482042
Dakota County Technical College,0,2019,2019-0,3408,54535,105319,105319
Martin Luther College,0,2019,2019-0,2057,24684,54039,54039
Minnesota State Community and Technical College,0,2019,2019-0,2450,26950,39055,39055
Minnesota West Community and Technical College,0,2019,2019-0,3284,42698,59439,59439
Gustavus Adolphus College,0,2019,2019-0,1448,43429,185012,185012
Hamline University,0,2019,2019-0,2286,47998,195313,195313
Hibbing Community College,0,2019,2019-0,2327,30247,49508,49508
Itasca Community College,0,2019,2019-0,1881,22575,46579,46579
Macalester College,0,2019,2019-0,1434,30110,169774,169774
Minnesota State University-Mankato,0,2019,2019-0,8975,125645,628261,628261
Mesabi Range College,0,2019,2019-0,1340,17422,34977,34977
University of Minnesota-Twin Cities,1278,2019,2019-1278,117437,1996428,17454711,8765442
University of Minnesota-Crookston,0,2019,2019-0,7811,117167,501828,501828
University of Minnesota-Duluth,0,2019,2019-0,5313,90316,665033,665033
University of Minnesota-Morris,0,2019,2019-0,2885,28852,97155,97155
Minnesota State University Moorhead,0,2019,2019-0,6964,104455,584007,567893
North Central University,0,2019,2019-0,2206,39706,64190,64190
Northland Community and Technical College,0,2019,2019-0,1223,19563,63186,61969
University of Northwestern-St Paul,0,2019,2019-0,1936,40650,89119,85981
Oak Hills Christian College,0,2019,2019-0,799,8788,28540,27586
Rainy River Community College,0,2019,2019-0,1138,15930,43073,43073
Rochester Community and Technical College,0,2019,2019-0,1813,34439,65575,65325
St Cloud Technical and Community College,0,2019,2019-0,1703,20434,36721,36721
Saint Cloud State University,0,2019,2019-0,8947,107362,555485,667885
Saint Mary's University of Minnesota,0,2019,2019-0,4372,74325,173298,173298
St Olaf College,0,2019,2019-0,2208,30905,162067,146967
Crown College,0,2019,2019-0,1100,31908,83656,80624
The College of Saint Scholastica,0,2019,2019-0,3052,39678,151367,136382
University of St Thomas,0,2019,2019-0,1383,47024,217451,217451
St Catherine University,0,2019,2019-0,0,0,,
Southwest Minnesota State University,0,2019,2019-0,5415,75812,432688,432688
Vermilion Community College,0,2019,2019-0,1069,14960,42466,42466
Ridgewater College,0,2019,2019-0,1436,14359,29222,31311
Winona State University,0,2019,2019-0,4616,69244,491212,491212
Alcorn State University,1108,2019,2019-1108,8019,120282,550993,550993
Belhaven University,0,2019,2019-0,3427,61677,195804,193357
Blue Mountain College,0,2019,2019-0,5227,88856,357421,357421
Coahoma Community College,0,2019,2019-0,2394,35917,269217,269217
Copiah-Lincoln Community College,0,2019,2019-0,2742,38386,251040,251040
Delta State University,0,2019,2019-0,4233,67731,429925,429925
East Central Community College,0,2019,2019-0,1318,14495,209905,209905
East Mississippi Community College,0,2019,2019-0,2498,37468,260002,260002
Hinds Community College,0,2019,2019-0,1539,21548,121681,121681
Holmes Community College,0,2019,2019-0,2530,35414,267478,267478
Itawamba Community College,0,2019,2019-0,1749,24490,256389,256389
Jackson State University,1238,2019,2019-1238,6959,125263,577680,577680
Jones County Junior College,0,2019,2019-0,1121,15695,270690,270690
Meridian Community College,0,2019,2019-0,1690,25353,202160,201163
Millsaps College,0,2019,2019-0,2387,52517,277033,248515
Mississippi Delta Community College,0,2019,2019-0,1339,20084,127722,127722
University of Mississippi,1279,2019,2019-1279,131667,2106667,10572245,12547833
Mississippi Valley State University,1290,2019,2019-1290,9374,168724,856095,481831
Mississippi College,0,2019,2019-0,3752,75042,592222,588318
Mississippi Gulf Coast Community College,0,2019,2019-0,1756,24588,224151,224151
Mississippi State University,1280,2019,2019-1280,98433,1673356,7066124,6835070
Northeast Mississippi Community College,0,2019,2019-0,2731,38237,270456,270456
Northwest Mississippi Community College,0,2019,2019-0,5706,85592,348889,348889
Pearl River Community College,0,2019,2019-0,2286,34290,266008,266008
Rust College,0,2019,2019-0,4765,42887,142887,142887
Southwest Mississippi Community College,0,2019,2019-0,4048,48574,249678,249678
University of Southern Mississippi,1379,2019,2019-1379,32931,461035,1781086,1781086
Tougaloo College,0,2019,2019-0,2717,40760,151041,151041
William Carey University,0,2019,2019-0,2341,133423,717446,719158
Avila University,0,2019,2019-0,2686,40290,199566,184117
Baptist Bible College,0,2019,2019-0,1240,11156,16256,16256
Calvary University,0,2019,2019-0,1144,13730,53574,42574
Central Christian College of the Bible,0,2019,2019-0,1439,23030,62968,62968
Central Methodist University-College of Liberal Arts and Sciences,0,2019,2019-0,1269,52045,715528,715528
University of Central Missouri,0,2019,2019-0,9394,159697,812008,812008
Columbia College,0,2019,2019-0,6658,86550,552224,552224
Crowder College,0,2019,2019-0,0,0,,
Culver-Stockton College,0,2019,2019-0,1728,82964,487737,487737
Drury University,0,2019,2019-0,5498,87961,901473,901473
Evangel University,0,2019,2019-0,2657,63775,528500,528500
Fontbonne University,0,2019,2019-0,1441,34593,83317,75030
Hannibal-LaGrange University,0,2019,2019-0,1925,26944,255171,255171
Harris-Stowe State University,0,2019,2019-0,1563,25006,100103,100103
Jefferson College,0,2019,2019-0,0,0,,
Lincoln University,0,2019,2019-0,3832,53649,355373,355373
Lindenwood University,0,2019,2019-0,2291,171832,925097,925097
Metropolitan Community College-Kansas City,0,2019,2019-0,3960,51477,149740,153427
Maryville University of Saint Louis,0,2019,2019-0,4281,55651,737550,717441
Mineral Area College,0,2019,2019-0,3412,40944,299860,294365
Missouri Baptist University,0,2019,2019-0,796,32616,946168,946168
Missouri Southern State University,0,2019,2019-0,8730,130949,642014,584791
Missouri Valley College,0,2019,2019-0,1045,47034,473637,444181
Missouri Western State University,0,2019,2019-0,5257,78862,547987,547987
University of Missouri-Columbia,1281,2019,2019-1281,102440,1946352,13772989,8387295
University of Missouri-Kansas City,0,2019,2019-0,27717,415751,1859426,1859426
Missouri University of Science and Technology,0,2019,2019-0,5556,66669,554215,554215
University of Missouri-St Louis,1387,2019,2019-1387,4467,62541,594697,594697
Moberly Area Community College,0,2019,2019-0,3367,53869,436142,436142
Truman State University,0,2019,2019-0,6833,122998,492918,492918
Northwest Missouri State University,0,2019,2019-0,9563,143451,854370,854370
Ozark Christian College,0,2019,2019-0,2842,28415,44415,37815
College of the Ozarks,0,2019,2019-0,7967,87634,216122,216122
Park University,0,2019,2019-0,1483,45978,420860,413462
Rockhurst University,0,2019,2019-0,4199,71381,524688,524688
Saint Louis University,0,2019,2019-0,69405,1041080,6876215,6876215
Saint Louis Christian College,0,2019,2019-0,1008,7058,11058,11058
St. Louis College of Pharmacy,0,2019,2019-0,3476,20853,170274,169999
Saint Louis Community College,0,2019,2019-0,2543,40681,103368,100654
Southwest Baptist University,0,2019,2019-0,5370,91282,565533,553703
Missouri State University-West Plains,0,2019,2019-0,4701,61113,419200,419200
State Fair Community College,0,2019,2019-0,3652,51123,392264,392264
Southeast Missouri State University,0,2019,2019-0,13897,194564,1283062,1283062
Missouri State University-Springfield,0,2019,2019-0,44124,705985,3070453,3070453
Three Rivers College,0,2019,2019-0,4088,53139,372295,372295
North Central Missouri College,0,2019,2019-0,2098,31476,98990,88641
Washington University in St Louis,1449,2019,2019-1449,4733,113601,536051,495570
Webster University,0,2019,2019-0,3464,83134,210180,164670
Westminster College,0,2019,2019-0,2397,35962,101029,101029
William Jewell College,0,2019,2019-0,3404,51058,515205,487759
William Woods University,0,2019,2019-0,2125,46739,414561,414561
Carroll College,0,2019,2019-0,9516,123713,562930,562930
Dawson Community College,0,2019,2019-0,1937,40674,202889,195806
Montana State University-Billings,0,2019,2019-0,10631,127576,654526,639728
University of Providence,0,2019,2019-0,5465,81973,638701,607206
Miles Community College,0,2019,2019-0,3142,37699,200456,200456
Montana Tech of the University of Montana,0,2019,2019-0,4741,80602,417353,417353
Montana State University,1286,2019,2019-1286,38818,582275,1767166,1900780
The University of Montana,1285,2019,2019-1285,35964,575424,1776525,2275216
Montana State University-Northern,0,2019,2019-0,5083,61001,290153,264428
Rocky Mountain College,0,2019,2019-0,7385,88616,565016,565016
Salish Kootenai College,0,2019,2019-0,2136,29904,38054,38054
The University of Montana-Western,0,2019,2019-0,6446,109579,313852,313852
Bellevue University,0,2019,2019-0,8014,144252,540812,540812
Central Community College,0,2019,2019-0,1454,20359,132356,132356
Chadron State College,0,2019,2019-0,5170,98238,449462,449462
Concordia University-Nebraska,0,2019,2019-0,1276,35719,406568,356523
Creighton University,1166,2019,2019-1166,85442,1196183,9017209,9017209
Doane University-Arts & Sciences,0,2019,2019-0,2634,44771,393800,392040
Hastings College,0,2019,2019-0,1564,53186,393586,393586
University of Nebraska at Kearney,0,2019,2019-0,7055,84659,517861,517861
Mid-Plains Community College,0,2019,2019-0,3037,91104,324957,324957
Midland University,0,2019,2019-0,1645,52632,477844,694305
Nebraska Christian College of Hope International University,0,2019,2019-0,2361,42506,216242,215829
University of Nebraska at Omaha,0,2019,2019-0,18724,243412,1244937,1244937
Nebraska Wesleyan University,0,2019,2019-0,3902,93636,168081,167386
University of Nebraska-Lincoln,1304,2019,2019-1304,116172,1858758,19340390,7771106
Northeast Community College,0,2019,2019-0,4136,49634,317497,317497
Peru State College,0,2019,2019-0,2472,49438,253322,253322
Southeast Community College Area,0,2019,2019-0,1831,31122,116343,116343
Union College,0,2019,2019-0,3787,41658,50818,50818
Wayne State College,0,2019,2019-0,4678,79526,459556,459556
Western Nebraska Community College,0,2019,2019-0,4337,69386,308806,267258
York College,0,2019,2019-0,854,46957,375836,375836
University of Nevada-Las Vegas,1424,2019,2019-1424,71848,1077721,5763010,5763010
University of Nevada-Reno,1305,2019,2019-1305,63791,1020655,4746053,4746053
Colby-Sawyer College,0,2019,2019-0,1421,24159,126243,126243
Dartmouth College,0,2019,2019-0,21632,281220,1106827,1106827
Franklin Pierce University,0,2019,2019-0,2148,36523,643034,636438
New England College,0,2019,2019-0,3195,54310,141590,141590
Southern New Hampshire University,0,2019,2019-0,7021,98300,1413056,1413056
University of New Hampshire-Main Campus,0,2019,2019-0,19570,293549,1629898,1629898
Keene State College,0,2019,2019-0,3009,48141,216681,216681
Plymouth State University,0,2019,2019-0,2188,32815,78995,78995
NHTI-Concord's Community College,0,2019,2019-0,920,15640,24443,24612
Rivier University,0,2019,2019-0,1389,23606,52059,52059
Saint Anselm College,0,2019,2019-0,5902,94433,1000460,994807
Atlantic Cape Community College,0,2019,2019-0,548,7123,17798,17798
Bergen Community College,0,2019,2019-0,824,14840,24340,24340
Bloomfield College,0,2019,2019-0,2677,45517,380904,380904
Brookdale Community College,0,2019,2019-0,2646,37044,49254,49254
Rowan College at Burlington County,0,2019,2019-0,908,9078,71726,71726
Caldwell University,0,2019,2019-0,3556,53333,577679,569941
Camden County College,0,2019,2019-0,775,11624,23924,23924
Centenary University,0,2019,2019-0,1115,17833,81867,81867
County College of Morris,0,2019,2019-0,572,9731,33342,33342
Cumberland County College,0,2019,2019-0,1475,17699,39166,39166
Drew University,0,2019,2019-0,2408,43348,144239,144239
Essex County College,0,2019,2019-0,1492,13431,32666,32666
Fairleigh Dickinson University-Metropolitan Campus,1192,2019,2019-1192,11326,169897,1682214,1682214
Felician University,0,2019,2019-0,2911,43666,306470,306470
Fairleigh Dickinson University-Florham Campus,0,2019,2019-0,1687,28679,164585,164585
Georgian Court University,0,2019,2019-0,2291,34372,565154,562265
Rowan University,0,2019,2019-0,3443,55082,327851,327851
Rowan College at Gloucester County,0,2019,2019-0,1244,23636,40758,40758
New Jersey City University,0,2019,2019-0,2627,47277,203449,203449
Kean University,0,2019,2019-0,2135,36291,151894,151894
Mercer County Community College,0,2019,2019-0,2334,35012,64662,64662
Middlesex County College,0,2019,2019-0,1064,11701,28418,28418
Monmouth University,1284,2019,2019-1284,22663,339940,2617464,2617464
Montclair State University,0,2019,2019-0,3834,69012,181599,178033
New Jersey Institute of Technology,0,2019,2019-0,18331,238300,1719551,1701490
Ocean County College,0,2019,2019-0,652,9130,23876,23876
Passaic County Community College,0,2019,2019-0,1119,13425,28925,28925
Princeton University,1343,2019,2019-1343,19671,334409,1404423,1404423
Ramapo College of New Jersey,0,2019,2019-0,1669,31719,272089,265190
Rider University,0,2019,2019-0,18167,308847,2055949,2055949
Rutgers University-Camden,0,2019,2019-0,2431,36465,126271,126271
Rutgers University-New Brunswick,1353,2019,2019-1353,89068,1514157,8333665,8333665
Rutgers University-Newark,0,2019,2019-0,2707,48728,201120,199053
Saint Peter's University,1389,2019,2019-1389,19360,271046,1446858,1446858
Seton Hall University,1371,2019,2019-1371,71931,1078963,6301138,6301138
College of Saint Elizabeth,0,2019,2019-0,2294,50468,111389,111389
Raritan Valley Community College,0,2019,2019-0,3819,34370,63062,63062
Stevens Institute of Technology,0,2019,2019-0,3875,69755,180422,180422
Stockton University,0,2019,2019-0,2209,37553,167895,167895
The College of New Jersey,0,2019,2019-0,1730,27674,139586,139586
Union County College,0,2019,2019-0,1255,16310,38565,38565
William Paterson University of New Jersey,0,2019,2019-0,1777,26648,143368,136315
Eastern New Mexico University-Main Campus,0,2019,2019-0,6363,89076,352867,401442
New Mexico Highlands University,0,2019,2019-0,4406,74907,424352,424352
New Mexico Junior College,0,2019,2019-0,3739,59827,195104,195104
New Mexico Military Institute,0,2019,2019-0,6727,80721,369391,369391
University of New Mexico-Main Campus,1307,2019,2019-1307,35543,568686,4423352,4390791
New Mexico State University-Main Campus,1308,2019,2019-1308,22168,443357,2485019,2485019
Northern New Mexico College,0,2019,2019-0,745,33530,145646,145646
University of the Southwest,0,2019,2019-0,2893,86781,259976,259976
